"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"68263",2517.37270439144,-3.18180817444379,0.0979970964563249,-32.4683923248873,2.97993540665801e-231,4.06701584300685e-227
"104112",21310.5042969755,-4.61355477760945,0.146659141555398,-31.457669318668,3.29710084464287e-217,2.24994161638429e-213
"52150",1402.8310275354,-6.80326724124186,0.229209688742108,-29.6814121539882,1.33424419162271e-193,6.06992157575556e-190
"67213",7675.19237884088,-3.52513626492939,0.121717486372067,-28.961625564249,2.00336390071134e-184,6.8354776292271e-181
"217944",1430.76195873438,-5.12052645840859,0.178014280371545,-28.7646948757213,5.93285886537353e-182,1.61943315589236e-178
"230810",881.444164589126,-6.87775068538778,0.254550075122081,-27.0192443749593,8.78205843798345e-161,1.99762555935997e-157
"13358",4150.44971307868,-4.83397558375606,0.182351232374868,-26.5091467757049,7.6031212528084e-155,1.48239141226184e-151
"432466",645.420950409793,-5.81093498843769,0.233808650033524,-24.8533789815069,2.37726755899005e-136,4.05561845563702e-133
"66612",2681.29404968824,-3.29569179521231,0.138312728480412,-23.8278272102704,1.71955026014703e-125,2.60760243894296e-122
"20932",7995.90632087149,-2.40537187272606,0.102663090571788,-23.4297629199474,2.12609953925227e-121,2.9017006511715e-118
"14104",48328.9353945708,-5.31633630238116,0.229351080603498,-23.1799051846285,7.26228293371652e-119,9.01051249812391e-116
"20515",11660.0590747438,-4.24350713800749,0.183180534730018,-23.1657099607325,1.00970948652678e-118,1.1483762560098e-115
"193813",2874.40031596372,-2.585910128764,0.112095373509224,-23.0688390413473,9.51842284852331e-118,9.99287961820355e-115
"23790",778.753463143873,4.46349947574583,0.209281700037423,21.3277103298936,6.28078786883574e-101,6.12287091670501e-98
"13645",327.766072215927,-6.19067119691186,0.290693958157578,-21.296181166435,1.23162092462552e-100,1.12061082528594e-97
"14456",7634.60461322474,6.52829232555926,0.309498402154437,21.0931374123919,9.19561791336611e-99,7.84386208010129e-96
"55979",1165.41138026229,-2.41485904757328,0.114692791103387,-21.0550203229117,2.05695180018606e-98,1.65136930405525e-95
"11941",2270.58608635347,-7.72066075713566,0.377533844606578,-20.4502480173168,5.97705696424206e-93,4.53193741377642e-90
"68428",667.840583265141,-4.91535251675489,0.240949456702125,-20.3999319360638,1.6744846887865e-92,1.20280879118727e-89
"100705",2220.41666481946,-5.34844711333988,0.263925989311958,-20.2649505161769,2.62224067827038e-91,1.78941703885171e-88
"14319",41925.2255473718,-2.52710763315869,0.126499202383919,-19.9772614019259,8.68598213892623e-89,5.64506115390787e-86
"66270",4334.29460640405,-2.57269118922062,0.129873844015671,-19.8091556365283,2.48211648514082e-87,1.53981480860009e-84
"14077",14210.7871385016,-6.91749137500602,0.350014826108074,-19.7634238867073,6.14889811372077e-87,3.64870267200266e-84
"28146",9860.91138743899,-3.57373472322933,0.182333710943537,-19.5999670315271,1.54724121686996e-85,8.7986450532672e-83
"235339",2761.39355290643,-3.23120213935871,0.166176615797302,-19.4443852635683,3.25148338286154e-84,1.77504980837177e-81
"66120",2650.32520061031,-6.55213814110455,0.339141156773097,-19.3197965220372,3.66090658467471e-83,1.9216943487554e-80
"18453",11538.0679493743,-2.42717970263963,0.126204697595584,-19.23208683101,1.99439085371451e-82,1.00812764338873e-79
"71228",1467.28429606058,2.2434491092353,0.117712154904107,19.0587718920183,5.55637752616789e-81,2.68392963727178e-78
"54325",3425.38721545901,-2.76572846514714,0.145126150869256,-19.0574093544229,5.70295717181138e-81,2.68392963727178e-78
"225358",2620.04967951914,2.77701903181595,0.149314638492395,18.5984379017024,3.30807560533823e-77,1.50495386205521e-74
